study_hours,attendance,previous_marks,assignment_score,sleep_hours,result
4.4,77.3,59.8,85.6,7.8,1
1.4,91.6,89.2,100.0,6.9,1
2.0,93.2,66.7,52.5,6.7,0
7.1,60.9,71.1,92.4,7.5,1
7.4,74.3,85.7,73.0,6.6,1
8.0,94.3,54.5,83.3,7.0,1
8.8,84.1,53.1,48.9,5.4,1
7.7,80.3,65.1,92.6,8.5,1
8.2,75.4,80.4,83.0,5.3,1
1.4,73.4,48.0,71.5,6.2,0
3.1,81.5,43.0,81.0,6.9,0
6.6,75.0,80.4,61.3,9.4,1
8.7,77.5,59.0,63.9,6.3,1
1.0,78.9,62.1,65.5,5.9,0
5.6,69.9,40.1,46.1,6.1,0
7.1,84.4,57.8,84.1,9.0,1
1.3,100.0,67.9,88.7,4.0,0
4.6,56.7,82.0,62.2,5.5,0
9.1,81.9,56.4,76.9,10.0,1
7.0,68.9,92.9,68.3,7.6,1
3.1,84.9,57.7,76.6,5.4,1
8.7,78.6,57.8,63.2,6.7,1
4.1,87.1,91.1,59.6,6.9,1
8.7,92.1,71.2,86.7,7.9,1
3.7,80.3,59.7,71.1,9.2,0
6.3,91.6,65.7,100.0,7.3,1
4.6,49.9,88.3,72.6,6.1,1
3.5,97.1,90.0,59.0,7.8,0
9.0,82.5,55.7,89.2,5.9,1
2.7,90.9,67.4,80.8,5.5,1
1.8,63.4,69.4,82.2,4.5,0
4.1,68.0,53.2,88.7,4.8,1
7.5,79.8,67.2,62.9,5.6,0
8.3,77.8,68.1,70.2,5.3,1
10.0,81.4,85.1,69.6,7.2,1
3.7,91.0,86.1,53.9,5.2,0
4.7,56.8,63.1,68.3,4.0,0
2.2,89.7,64.8,90.7,5.4,1
6.2,78.1,78.0,75.3,6.2,1
10.0,75.6,59.2,53.2,6.0,1
7.3,60.3,76.8,50.2,8.8,0
6.4,84.0,66.7,95.3,6.0,0
4.5,49.0,53.5,70.7,7.9,0
9.2,85.8,53.6,62.9,6.8,1
5.5,60.1,89.7,68.2,6.7,1
2.2,78.6,65.7,51.3,5.7,0
4.3,76.6,92.6,91.9,6.7,0
1.6,92.0,60.3,66.5,5.8,0
2.8,75.9,72.4,91.1,7.0,0
1.2,69.7,100.0,72.7,6.5,0
5.1,71.9,52.1,92.0,5.6,1
6.7,93.3,39.5,75.6,8.1,0
4.1,84.4,87.3,83.9,7.4,1
4.8,73.4,55.6,82.1,6.2,1
9.6,75.2,67.7,80.7,7.0,1
7.8,59.2,59.2,76.9,6.7,1
5.9,82.7,72.0,68.7,5.7,0
3.6,56.9,53.7,98.8,6.9,0
9.1,87.0,65.3,59.3,6.0,1
3.1,79.5,74.7,72.1,5.6,0
3.9,100.0,52.9,72.2,4.7,0
9.2,64.8,57.5,77.6,6.3,1
5.8,76.8,62.8,66.0,7.5,0
7.7,99.6,46.6,76.4,5.9,1
6.3,92.3,61.7,69.6,10.0,1
6.9,69.6,69.8,49.9,8.0,0
3.7,80.7,62.0,72.1,8.5,0
3.2,78.0,63.9,56.6,7.8,0
3.9,81.4,67.7,47.7,9.2,0
2.4,69.6,58.2,73.9,5.8,0
8.9,76.9,78.4,78.8,4.0,1
3.5,58.8,89.5,79.4,6.2,1
6.1,79.6,61.0,79.9,7.5,1
8.1,83.4,75.3,44.9,7.0,1
8.1,75.3,64.4,52.9,7.2,1
4.9,58.6,73.5,99.6,8.5,1
5.3,89.9,91.5,57.3,7.3,0
10.0,82.4,75.6,80.6,7.8,1
7.1,69.3,41.4,62.4,5.6,0
8.3,74.6,74.8,73.1,5.4,1
9.1,60.0,86.5,63.1,8.9,1
8.1,65.7,64.7,79.9,6.9,1
2.7,71.5,82.9,73.9,6.0,0
6.1,92.7,57.6,65.7,6.0,0
1.9,70.3,45.7,57.3,6.0,0
6.9,85.7,70.1,75.7,5.9,0
9.6,71.5,41.7,55.0,5.1,1
5.6,81.0,64.4,78.0,4.8,1
4.9,76.3,87.3,100.0,6.5,1
1.3,88.5,39.4,90.9,6.0,0
9.6,71.6,48.8,82.1,8.2,1
1.9,59.1,52.5,70.8,7.2,0
1.4,61.4,67.1,44.9,7.1,0
3.2,71.6,62.5,53.5,5.8,0
1.6,63.0,89.0,90.0,6.6,1
5.1,82.9,82.3,60.9,7.3,1
5.6,72.4,75.4,62.2,7.7,1
3.8,100.0,70.2,69.7,6.7,0
1.5,57.1,73.9,57.1,8.2,0
2.0,80.4,55.1,54.8,6.8,0
4.5,64.5,80.9,71.3,7.8,0
1.5,72.1,51.3,59.5,6.2,0
7.3,79.7,80.5,61.6,4.4,1
2.9,50.1,85.8,61.1,7.1,0
3.7,80.8,71.2,79.3,7.7,0
4.5,100.0,65.4,68.8,7.5,1
4.7,72.6,74.0,69.5,7.3,1
1.0,81.1,30.0,80.4,6.3,0
2.0,90.3,72.5,70.0,5.8,0
8.8,76.0,66.3,68.1,7.5,1
1.0,71.0,67.2,78.6,7.4,0
5.6,50.7,78.6,81.4,6.1,0
5.4,85.7,66.9,69.9,8.2,1
4.0,76.6,50.9,73.1,5.7,1
4.9,65.8,65.9,61.1,6.0,0
8.0,79.5,69.0,60.0,8.9,1
8.6,71.0,69.7,82.8,7.9,1
3.3,71.7,70.4,78.2,6.3,0
3.9,85.3,83.6,78.4,7.2,1
3.2,61.9,51.7,75.9,7.0,0
5.3,90.6,70.6,72.6,4.0,1
7.1,61.2,87.3,81.7,5.6,1
3.1,70.0,42.0,85.1,6.7,0
4.0,100.0,70.7,84.8,6.3,1
9.4,91.5,59.2,70.6,7.1,1
1.4,79.2,62.4,91.4,8.3,0
5.1,66.7,54.4,75.2,6.4,0
7.4,71.6,65.5,80.9,5.4,1
2.4,78.9,95.6,75.9,7.2,1
1.4,78.5,49.0,75.5,6.4,0
2.2,76.9,50.5,61.7,6.6,0
9.3,77.6,48.5,81.8,6.4,1
1.1,75.4,93.9,100.0,9.7,1
2.7,60.7,61.1,66.8,4.0,0
1.3,71.8,67.6,73.0,6.3,0
2.0,89.0,62.0,65.8,6.8,0
6.6,61.6,53.8,65.2,5.8,0
3.2,75.7,64.5,93.6,8.0,1
6.1,68.2,100.0,62.6,7.9,0
6.3,79.3,88.9,65.4,6.7,1
8.6,73.3,55.2,49.8,6.4,1
1.0,95.7,77.7,61.4,6.7,1
8.7,84.1,55.5,48.1,6.7,1
6.6,62.3,41.4,80.8,6.7,1
2.5,86.1,83.3,100.0,6.6,1
8.0,68.7,85.4,66.9,7.1,1
8.7,71.1,83.7,48.7,7.8,0
3.3,81.8,61.0,84.6,5.2,0
9.3,72.1,65.5,61.8,5.4,1
5.1,88.7,79.2,90.2,4.5,1
6.4,68.7,73.9,68.1,7.9,1
9.9,70.6,62.1,63.2,7.1,1
4.3,70.1,43.7,69.5,7.5,0
8.3,71.2,69.7,82.6,4.9,1
3.9,91.2,84.2,68.8,9.1,0
8.2,85.5,50.0,65.0,6.0,1
6.4,98.5,77.6,69.2,7.0,1
2.9,100.0,73.0,54.2,7.9,0
4.7,65.6,79.3,77.6,5.5,1
3.9,78.8,81.1,47.0,6.1,0
1.7,63.9,57.6,65.8,7.0,1
1.3,68.7,43.7,82.6,10.0,0
4.1,70.4,60.0,76.2,7.2,0
1.2,65.3,81.3,80.3,8.9,1
2.5,65.4,59.9,71.1,8.4,0
7.5,76.3,57.6,88.4,7.3,1
7.4,63.4,40.7,84.9,5.5,0
7.6,88.1,94.3,78.2,8.2,1
3.9,67.0,80.4,85.0,4.9,0
9.0,100.0,79.5,82.5,8.9,1
6.3,72.6,82.5,65.8,7.1,1
2.1,78.9,76.7,53.2,4.0,0
2.3,62.5,64.3,77.9,6.4,0
7.2,98.5,65.5,79.6,7.7,1
2.6,91.4,61.6,87.3,6.5,1
5.6,81.6,100.0,58.9,7.7,1
9.9,61.8,76.3,59.3,5.7,1
1.0,80.5,61.0,78.4,5.1,0
1.1,64.5,75.0,71.0,6.7,0
9.9,95.5,52.8,45.6,6.8,1
6.3,87.7,90.6,77.3,6.3,1
2.1,79.1,58.1,46.1,8.4,0
9.1,48.8,75.5,58.8,5.7,0
8.9,66.2,84.0,90.9,7.2,1
5.8,86.3,73.8,97.5,6.9,1
6.6,92.6,69.4,55.0,4.8,1
3.5,91.3,68.2,67.4,5.1,0
1.5,58.9,67.2,72.6,6.8,0
6.4,81.6,59.3,96.9,9.4,1
3.7,90.2,61.3,65.1,7.6,1
7.0,58.1,90.2,65.3,4.6,1
8.5,77.9,66.4,93.7,4.0,1
1.2,81.3,56.2,66.8,7.8,0
6.4,74.4,60.3,82.1,6.7,1
3.1,55.8,84.5,51.3,8.3,0
8.9,74.1,78.1,69.6,5.7,1
3.3,74.1,76.4,48.8,7.3,1
6.5,76.2,64.1,57.2,7.9,1
6.0,71.2,76.6,83.7,6.2,0
4.6,72.7,58.3,71.3,6.2,0
7.1,77.5,64.1,67.5,6.8,1
7.5,83.3,82.5,61.5,7.5,1
6.1,74.3,81.1,68.9,6.8,1
7.8,73.1,53.3,76.2,8.1,1
9.9,79.1,55.2,85.8,6.2,1
4.8,54.9,69.6,35.2,5.1,0
5.6,83.7,93.9,60.4,9.4,1
1.1,78.0,39.3,74.2,6.0,0
8.2,78.5,72.2,70.6,6.1,1
5.7,89.5,47.4,77.6,6.7,0
4.7,54.6,58.5,75.7,6.9,1
1.8,54.3,62.5,67.7,6.3,0
9.0,81.3,61.7,64.6,6.8,1
4.6,77.9,60.0,68.6,6.7,1
7.1,80.0,68.1,88.1,7.0,1
2.3,72.5,60.0,61.8,4.0,0
9.7,86.0,46.1,71.1,9.2,1
2.6,89.2,79.7,74.6,6.6,0
2.8,83.8,79.3,93.8,7.6,1
8.7,74.9,80.6,67.8,5.0,1
9.2,52.7,44.9,85.4,6.2,1
2.9,87.2,72.5,89.2,5.9,0
5.2,92.7,78.1,71.1,8.7,1
7.6,85.7,52.5,69.0,6.0,1
8.9,67.4,68.1,67.4,7.8,0
4.4,86.1,66.3,68.4,6.0,1
5.7,88.3,95.6,84.0,6.2,1
7.7,96.7,96.9,75.2,6.5,1
7.6,67.5,43.0,75.3,8.5,0
8.0,75.3,100.0,56.2,4.3,1
6.1,87.0,54.3,58.5,5.1,0
1.9,78.7,82.7,100.0,4.3,1
9.1,64.6,82.6,69.5,5.4,1
8.8,83.0,53.1,61.2,5.7,0
8.2,84.9,75.4,92.0,4.7,1
1.9,79.1,66.4,75.9,5.8,0
2.8,80.6,76.3,80.1,4.2,1
7.7,74.9,71.5,70.1,5.5,1
1.2,95.7,85.9,67.5,8.4,0
9.8,67.2,69.1,69.6,7.3,1
4.4,71.0,65.5,52.6,7.0,0
7.5,78.1,84.4,70.8,5.5,1
9.0,88.5,76.7,76.1,4.8,1
4.6,60.0,79.0,97.9,5.3,1
3.9,62.3,58.0,73.2,6.7,1
6.5,53.5,52.3,39.3,7.9,0
6.2,78.4,59.5,70.7,8.0,1
4.7,64.6,58.7,100.0,7.6,1
6.4,73.4,79.8,84.1,5.8,1
9.4,85.9,82.6,60.6,6.8,1
5.2,70.3,65.7,80.3,6.4,1
2.8,80.8,89.5,61.6,6.5,1
4.4,74.4,88.5,53.0,9.4,1
4.5,86.1,71.7,67.1,4.5,0
2.2,83.7,55.7,73.3,6.5,0
2.5,69.7,91.6,45.8,8.4,0
7.2,76.0,67.1,55.9,4.9,1
4.1,90.5,69.9,72.1,6.0,0
9.6,82.7,62.9,66.3,6.1,1
3.2,61.2,54.7,77.5,6.5,0
1.9,85.9,46.0,55.0,4.7,0
7.8,65.0,77.5,82.0,7.6,1
8.9,95.0,56.2,55.4,7.7,1
3.5,90.3,100.0,95.0,7.5,1
2.8,81.5,51.7,48.0,5.7,0
2.7,79.9,49.1,56.7,6.9,0
5.7,75.5,75.7,77.8,5.6,1
5.2,86.1,90.9,95.3,6.4,1
3.3,73.6,69.0,76.4,9.6,1
1.4,80.8,76.6,79.9,6.9,1
5.3,88.5,40.3,72.2,5.3,0
9.6,71.3,57.8,57.6,7.0,1
6.9,70.6,51.9,65.1,5.0,0
5.5,63.7,39.6,55.0,5.2,0
2.0,65.2,69.8,54.1,5.4,0
3.3,56.1,34.4,77.6,6.2,0
3.7,86.8,48.2,56.3,8.0,0
7.9,99.7,59.9,76.5,7.6,1
8.9,95.1,55.5,53.8,7.5,1
9.1,58.5,73.9,76.1,5.4,1
9.9,86.7,72.6,65.2,6.1,1
9.8,95.1,81.4,91.7,7.2,1
9.6,72.5,79.3,76.5,6.0,1
1.6,79.2,85.1,89.3,6.4,0
2.2,53.9,68.0,61.4,7.4,0
3.7,81.2,72.6,72.8,6.3,1
6.0,65.2,75.7,58.3,7.1,1
1.9,80.4,70.1,66.2,8.9,1
8.6,59.3,62.0,68.3,6.6,1
6.6,84.5,63.0,61.8,8.3,1
5.9,90.3,55.7,55.0,7.5,1
2.5,68.6,74.3,52.2,4.9,0
3.3,64.4,66.6,39.2,5.4,0
2.4,52.1,58.1,57.2,5.7,0
8.7,74.8,58.1,80.8,5.7,1
6.3,71.0,49.8,49.6,6.7,0
7.6,59.4,82.7,52.8,7.6,1
3.7,83.4,69.2,97.1,8.4,1
4.3,72.6,55.1,63.1,7.2,0
4.6,65.1,80.1,76.5,6.2,1
7.8,71.3,59.6,81.0,4.1,1
8.0,90.9,46.9,81.3,6.9,1
2.9,85.2,83.3,50.7,6.8,0
9.5,76.4,59.9,68.8,7.0,1
2.1,85.4,61.9,49.3,9.5,1
9.1,64.1,68.6,100.0,8.4,1
1.9,78.4,85.1,49.7,7.8,0
3.4,79.8,68.3,57.3,5.5,0
8.6,72.4,50.0,57.4,6.1,1
2.6,83.2,76.2,51.0,6.7,1
4.7,68.6,60.7,90.9,5.8,1
5.0,84.1,96.3,100.0,7.5,1
3.2,84.6,68.0,65.3,7.3,0
7.4,43.0,34.5,53.5,5.4,0
8.7,92.3,73.4,40.7,8.4,1
8.9,41.4,97.2,68.6,6.9,1
4.1,70.6,91.6,67.6,4.6,0
5.8,90.3,95.5,62.9,6.7,1
3.2,74.2,52.7,75.1,7.2,0
3.2,60.4,81.7,77.5,8.1,0
2.5,64.9,57.2,76.5,6.4,0
9.5,90.3,71.4,67.6,7.9,1
9.0,54.9,48.9,56.6,7.0,1
8.0,91.5,58.3,81.3,5.1,1
5.7,77.3,57.9,72.2,5.0,0
5.4,63.7,81.5,84.4,8.3,0
5.8,71.0,80.0,83.1,8.4,1
5.8,65.8,72.2,52.1,7.2,1
4.9,88.4,47.7,51.9,8.7,0
2.2,86.8,63.3,61.4,8.2,0
2.1,57.4,56.8,57.2,7.7,0
9.6,73.2,81.0,82.6,5.6,1
5.3,67.6,85.7,76.9,9.1,1
9.6,93.5,83.8,87.4,7.5,1
2.5,61.8,56.7,77.6,6.3,0
6.0,97.3,30.0,74.9,5.9,0
2.9,77.6,41.5,88.8,7.1,0
3.3,64.1,89.3,78.6,4.6,1
1.3,69.9,62.0,73.0,7.7,0
2.1,68.4,56.7,92.7,5.6,0
9.3,62.7,92.6,73.6,7.3,1
3.9,79.1,87.0,67.7,6.1,0
6.5,63.3,68.4,60.3,6.5,1
5.2,51.8,63.6,81.8,5.8,0
4.6,73.4,66.0,89.3,6.6,1
5.8,56.4,71.4,71.3,9.3,0
2.7,69.0,92.0,90.3,8.6,1
9.9,67.1,74.3,44.4,7.3,1
8.4,67.5,78.9,71.2,6.8,1
7.7,100.0,85.5,71.4,7.9,1
5.2,78.7,50.5,61.8,8.3,0
2.4,80.9,79.3,100.0,5.7,1
9.3,56.7,63.6,71.1,6.7,0
4.1,70.2,30.3,66.3,4.4,0
1.5,80.6,36.1,72.4,8.3,0
4.1,65.7,52.7,44.0,9.5,0
8.2,88.9,76.0,61.4,6.9,1
6.6,63.6,69.7,85.8,4.0,1
7.8,74.6,70.8,63.2,7.6,0
8.1,71.0,97.3,60.4,5.6,1
2.9,80.0,49.0,90.3,5.9,0
9.3,70.3,67.6,90.8,7.6,1
4.9,74.7,72.6,79.2,7.1,1
6.8,75.2,57.0,65.6,6.2,0
1.0,69.2,68.4,68.6,6.0,0
9.9,83.8,44.0,60.7,7.0,1
3.5,80.9,89.1,58.1,6.3,0
